"","lake_id","station_id","country","subset","lake_name","lat_wgs84","lon_wgs84","altitude_m","area_ha","depth_mean_m","depth_max_m","cent_lat_wgs84","cent_lon_wgs84"
"609",560,"560_1","SE",NA,"Ulvsjön",62.2612452576152,16.4433680815973,373.8,125.79,4.5,11,62.2649258469306,16.4249415595025
"610",561,"561_1","SE",NA,"Umnässjön",65.4235025288295,16.1714918555015,351.8,1268.85,16.7,43.8,65.4535554005452,16.0555403825758
"611",562,"562_1","SE",NA,"Unden",58.7554862977283,14.3875820136173,117.8,9238.97,30.7,86,58.7811476789567,14.457777237639
"612",563,"563_1","SE",NA,"Uppämten",60.1409099974532,13.7967436076023,185,65.81,2.6,7,60.1446972328417,13.80281618527
"613",564,"564_1","SE",NA,"Ursjön",59.7112929685608,16.0369948980485,93.9,5.53,NA,NA,59.7134811707822,16.0376407518082
"614",565,"565_1","SE",NA,"Uspen",57.7748136726535,12.3961594382975,94.6,148.29,11.6,26,57.7633321066498,12.403842309286
"615",566,"566_1","SE",NA,"Vågsjön",59.6995450233894,15.9701353428388,86.2,321.37,6.2,16,59.7048271753383,15.9919750281259
"616",226,"226_2","SE",NA,"Vaikijaure",66.631347782561,19.8199811386665,260,2539.92,NA,11,66.6679352490344,19.7056794002945
"617",567,"567_1","SE",NA,"Vällen",60.0376697696906,18.3471329072456,13.9,880.44,2.8,5,60.0342103552243,18.3266000093204
"618",568,"568_1","SE",NA,"Vallentunasjön",59.4810191228754,18.0192094677695,8.1,575.12,2.4,5,59.5055570681108,18.0372591626196
"619",569,"569_1","SE",NA,"Valsjön",64.0198525803315,14.2074106378501,332.2,913.36,20.7,72,64.0436362771669,14.1504189615949
"620",570,"570_1","SE",NA,"Vanderydsvattnet",58.1678849425774,12.4114642168985,73.2,1020.18,3.8,18,58.1327414625144,12.3728248805534
"621",571,"571_1","SE",NA,"Vänern Borgvikssjön",59.3459414887375,12.974979142418,44.4,548431.23,NA,57,58.9100607240058,13.2871331176033
"622",571,"571_2","SE",NA,"Vänern Brandsfjorden",58.4312585360869,12.6548904108802,44.4,548431.23,NA,57,58.9100607240058,13.2871331176033
"623",571,"571_3","SE",NA,"Vänern Kinneviken",58.5791122274534,13.2435726141536,44.4,548431.23,NA,57,58.9100607240058,13.2871331176033
"624",571,"571_4","SE",NA,"Vänern Mariestadssjön",58.7323144305746,13.7763569299914,44.4,548431.23,NA,57,58.9100607240058,13.2871331176033
